timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507496449,17955,HTTP Request,200,,Thread Group 1-20,text,true,,161,118,100,100,13708,0,2080
1520507516268,2076,HTTP Request,200,,Thread Group 1-86,text,true,,161,118,100,100,2076,0,1
1520507510221,4201,HTTP Request,200,,Thread Group 1-41,text,true,,161,118,100,100,4201,0,12
1520507517508,836,HTTP Request,200,,Thread Group 1-51,text,true,,161,118,100,100,836,0,1
1520507510165,4263,HTTP Request,200,,Thread Group 1-58,text,true,,161,118,100,100,4263,0,0
1520507517534,823,HTTP Request,200,,Thread Group 1-19,text,true,,161,118,100,100,822,0,1
1520507510164,4266,HTTP Request,200,,Thread Group 1-86,text,true,,161,118,100,100,4266,0,2
1520507517530,879,HTTP Request,200,,Thread Group 1-8,text,true,,161,118,100,100,877,0,1
1520507510177,4258,HTTP Request,200,,Thread Group 1-63,text,true,,161,118,100,100,4257,0,1
1520507515736,2692,HTTP Request,200,,Thread Group 1-72,text,true,,161,118,100,100,2692,0,1
1520507510840,3643,HTTP Request,200,,Thread Group 1-74,text,true,,161,118,100,100,3642,0,0
1520507516317,2149,HTTP Request,200,,Thread Group 1-14,text,true,,161,118,100,100,2149,0,0
1520507512293,2197,HTTP Request,200,,Thread Group 1-59,text,true,,161,118,100,100,2197,0,1
1520507517497,974,HTTP Request,200,,Thread Group 1-61,text,true,,161,118,100,100,973,0,0
1520507510192,4303,HTTP Request,200,,Thread Group 1-90,text,true,,161,118,100,100,4303,0,0
1520507500960,17509,HTTP Request,200,,Thread Group 1-23,text,true,,161,118,100,100,17387,0,4483
1520507510832,3666,HTTP Request,200,,Thread Group 1-70,text,true,,161,118,100,100,3661,0,1
1520507510159,8313,HTTP Request,200,,Thread Group 1-77,text,true,,161,118,100,100,8312,0,4701
1520507517511,965,HTTP Request,200,,Thread Group 1-18,text,true,,161,118,100,100,964,0,1
1520507510850,3654,HTTP Request,200,,Thread Group 1-79,text,true,,161,118,100,100,3653,0,0
1520507517524,956,HTTP Request,200,,Thread Group 1-1,text,true,,161,118,100,100,956,0,0
1520507510203,4469,HTTP Request,200,,Thread Group 1-51,text,true,,161,118,100,100,4469,0,3940
1520507517559,927,HTTP Request,200,,Thread Group 1-4,text,true,,161,118,100,100,926,0,1
1520507513363,1309,HTTP Request,200,,Thread Group 1-21,text,true,,161,118,100,100,1309,0,305
1520507517502,985,HTTP Request,200,,Thread Group 1-11,text,true,,161,118,100,100,983,0,1
1520507510225,4506,HTTP Request,200,,Thread Group 1-11,text,true,,161,118,100,100,4505,0,3916
1520507518117,449,HTTP Request,200,,Thread Group 1-43,text,true,,161,118,100,100,449,0,1
1520507481999,32863,HTTP Request,200,,Thread Group 1-78,text,true,,161,118,100,100,32862,0,1482
1520507518169,422,HTTP Request,200,,Thread Group 1-54,text,true,,161,118,100,100,421,0,2
1520507514143,767,HTTP Request,200,,Thread Group 1-46,text,true,,161,118,100,100,766,0,1
1520507504578,14328,HTTP Request,200,,Thread Group 1-50,text,true,,161,118,100,100,14014,0,12233
1520507482000,32947,HTTP Request,200,,Thread Group 1-26,text,true,,161,118,100,100,32216,0,1554
1520507511141,8110,HTTP Request,200,,Thread Group 1-75,text,true,,161,118,100,100,8109,0,211
1520507510222,4731,HTTP Request,200,,Thread Group 1-37,text,true,,161,118,100,100,4731,0,10
1520507460090,59244,HTTP Request,200,,Thread Group 1-53,text,true,,161,118,100,100,59226,0,11201
